ARTICOLO;DESCRIZIONE;Q.TA
10204;CHARM CUORE GABBIA;1,00
08059;AMORINO SULLA LUNA;1,00
08058;CHARM AMORINO SU CUORE;1,00
06099;CHARM LUNA  ANGELO;1,00
06098;CHARM CUORE ANGELO;1,00
10203;CHARM CUORE MARGHERITE;1,00
09467;CUORE MIMOSA;1,00
10166;CHARM CORNO ROSSO CORONA;1,00
06003;CHARM QUADRIFOGLIO PICCOLO;1,00
06562;CHARM QUADRIFOGLIO;1,00
06561;CHARM QUADRIFOGLIO MEDIO;1,00
06010;CHARM QUADRIFOGLIO GRANDE;1,00
07763;CHARM QUADRIFOGLIO;1,00
06569;CHARM MANO CORNA;1,00
06570;CHARM FERRO CAVALLO;1,00
06007;CHARM FERRO DI CAVALLO PICCOLO;1,00
06012;CHARM FERRO DI CAVALLO GRANDE;1,00
06202;CHARM CORNUCOPIA;1,00
06006;CHARM ELEFANTE;1,00
06000;CHARM GOBBO;1,00
06004;CHARM LISCA DI PESCE;1,00
10507;BRACCIALE IMPERO cm 23;1,00
07756;CHARM CAMOMILLA;1,00
07755;CHARM ROSA;1,00
06559;CHARM MARGHERITA;1,00
06204;CHARM MARGHERITA;1,00
06297;CHARM MARGHERITA GRANDE;1,00
06030;CHARM SCARPETTA;1,00
06011;CHARM CORNO GRANDE;1,00
06571;CHARM CORNO;1,00
06005;CHARM CORNO PICCOLO;1,00
08760;CHARM CORNO MEDIO CORONA;1,00
08765;CHARM CORNO PICCOLO CORONA;1,00
08770;CHARM CORNO ROSSO CROCO;1,00
10168;CHARM CORNO ROSSO LISCIO;1,00
10167;CHARM CORNO ROSSO CUPOLA;1,00
06903;CHARM MEDAGLIA LIBERTY;1,00
06899;CHARM IMPERATORE GRANDE;1,00
06898;CHARM CORNUCOPIA;1,00
06897;CHARM AMULETI;1,00
06896;CHARM VELIERO;1,00
07158;CHARM NEDERLAND;1,00
09453;CHARM GIGLIO DI FIRENZE;1,00
09460;CHARM 100 LIRE;1,00
09459;CHARM 50 LIRE;1,00
09458;CHARM 20 LIRE;1,00
09457;CHARM 10 LIRE;1,00
09456;CHARM 5 LIRE;1,00
09455;CHARM 2 LIRE;1,00
09454;CHARM 1 LIRA;1,00
07760;CHARM FIOR DI LOTO;1,00
07759;CHARM NARCISO;1,00
06339;CHARM PALLA TENNIS;1,00
06197;CHARM PALLONE CALCIO;1,00
06035;CHARM PALLA RUGBY;1,00
08901;CHARM COPPA;1,00
06246;CHARM COPPA CHAMPIONS;1,00
06031;CHARM MAZZA DA GOLF;1,00
06032;CHARM MAZZA DA BASEBALL;1,00
09638;CHARM BICICLETTA;1,00
06027;CHARM BICICLETTA;1,00
06156;CHARM SCARPA TENNIS;1,00
09849;CHARM MASCHERA SUB;1,00
06033;CHARM PINNA;1,00
09926;CHARM PINNA;1,00
06028;CHARM RACCHETTA TENNIS;1,00
09639;CHARM RACCHETTA TENNIS;1,00
09200;BRISE' ROULETTE;3,00
09668;STOP;6,00
09202;BEAD MARTELLATO;6,00
09984;BARILOTTO MARTELLATO;6,00
09205;SPIRALE;6,00
09833;SFERA MARTELLATA PICCOLA;6,00
09832;SFERA MARTELLATA GRANDE;6,00
09210;BRACCIALE BASE STELLA MARINA cm 20;2,00
09850;CHARM SURF BOARD;1,00
06034;CHARM SCI;1,00
08638;CHARM SNOWBOARD;1,00
08637;CHARM PATTINO GHIACCIO;1,00
08636;CHARM ROLLERBLADE;1,00
09852;CHARM FISCHIETTO;1,00
06198;CHARM PALLINA GOLF;1,00
08897;CHARM PALLA BASKET;1,00
07254;CORDINO 1 metro;8,00
06430;CORDONE SETA NAPPINE NERO;3,00
07636;CORDONE SETA NAPPINE BLU;1,00
06056;BRISE' diam. mm 31;6,00
08118;BRISE' CUORE;3,00
08119;BRISE' OVALE GRANDE;3,00
06914;BRISE' Giovanni Raspini diam. mm 33;3,00
10499;BANGLE MARTELLATO PICCOLO diam.m 65;3,00
10499L;BANGLE MARTELLATO PICCOLO diam.m 70;2,00
10499S;BANGLE MARTELLATO PICCOLO diam.m 60;2,00
10700;ORECCHINI HUGGIE BASE CHARMS;4,00
09112;BRACCIALE ROLO' cm 20;6,00
09201;CIAMBELLINA CAVA;200,00
09212;BRACCIALE BASE CORONA cm 20;2,00
09441;BRACCIALE BASE FARFALLA cm 20;2,00
09442;BRACCIALE BASE MARGHERITA cm 20;2,00
A08252;SCHIENA ESPOS.A8047 CAMPAGNA 2020;10,00
A08154;CUSCINO;20,00
A08080;PORTA ORECCHINI;10,00
A08081S;PORTA ANELLI PICCOLO;10,00
A08053;ESPOSITORE IN LEGNO PER COLLANA;10,00
06966;BANGLE LISCIO PICCOLO diam. mm 65;3,00
07155;BRACCIALE ROLO' PICCOLO cm 21;6,00
08351/90;COLLANA MINI ROLO' cm 90;3,00
08351/45;COLLANA MINI ROLO' cm 45;3,00
07564;GIROCOLLO BASE cm 45;3,00
07564/60;GIROCOLLO BASE cm 60;3,00
07443;BRACCIALE MAGLIA TONDA cm 20;2,00
06055;SPILLONE;3,00
06966S;BANGLE LISCIO PICCOLO diam. mm 60;2,00
06966L;BANGLE LISCIO PICCOLO diam. mm 70;2,00
09462;CHARM CUORE FARFALLE;1,00
06096;CHARM CUORE LISCIO;1,00
06418;CHARM CUORE CORONA;1,00
06097;CHARM CUORE DUE ANGELI;1,00
